CODGEO;POP18;Lits marchands 2018 (hors PtoP);Lits touristiques 2021 inc. PtoP;P18_RSECOCC;Lits marchands 2015 (hors PtoP);P15_RSECOCC;LIBGEO
6001;93;0;296.0;56.0;64;51.6967213114754;Aiglun
6002;60;0;109.0;21.0;0;17.0;Amirat
6003;655;24;2580.0;500.0;172;459.280575539569;Andon
6004;74047;10517;145083.979374467;22825.5958748934;13876;21090.1667175647;Antibes
6005;172;0;599.63822721026;113.327645442052;0;125.52966101695;Ascros
6006;2261;18;360.3927411965315;35.6785482393063;18;46.3184965380811;Aspremont
6007;3292;375;1692.338169198385;175.667633839677;407;178.0;Auribeau-sur-Siagne
6008;33;0;76.5625;15.3125;0;13.1884057971014;Auvare
6009;108;0;178.552845528455;34.910569105691;0;18.0;Bairols
6010;2958;228;1562.0;159.0;228;179.972620599739;Le Bar-sur-Loup
6011;3759;586;9506.436887921647;1631.88737758433;544;1574.61801404577;Beaulieu-sur-Mer
6012;13713;1510;20654.5136314475;3399.7027262895;1595;3164.64969905051;Beausoleil
6013;697;22;2977.69056261343;560.538112522686;22;574.080115677214;Belvédère
6014;957;0;367.7505030181085;58.3501006036217;0;63.3245001774518;Bendejun
6015;1267;16;965.476646509975;161.695329301995;14;137.340372670807;Berre-les-Alpes
6016;542;173;4372.905538839935;793.181107767987;138;796.515070921986;Beuil
6017;256;0;223.4285714285715;39.0857142857143;0;40.8195535602943;Bézaudun-les-Alpes
6018;10097;1401;6863.303581580445;806.860716316089;1851;638.642651279116;Biot
6019;1670;0;203.0;23.0;0;29.1669064748202;Blausasc
6020;581;40;1577.706814580035;297.941362916007;40;303.146078500458;La Bollène-Vésubie
6021;741;0;303.0;56.0;0;63.3065693430657;Bonson
6022;566;0;729.0;134.0;0;156.230158730159;Bouyon
6023;2203;234;3893.46966731898;698.093933463796;235;696.22196246384;Breil-sur-Roya
6024;221;261;1181.150183150185;172.630036630037;261;171.053760775565;Briançonnet
6025;1423;0;696.0;114.0;0;148.166666666667;Le Broc
6026;1378;46;2160.5272663677697;276.505453273554;90;210.440713536202;Cabris
6027;51895;2417;31823.71575115485;4940.74315023097;2540;4983.24774874855;Cagnes-sur-Mer
6028;420;0;1587.0;292.0;0;251.588983050847;Caille
6029;74784;18124;228981.778726384;32422.5557452768;19900;30808.2777115963;Cannes
6030;41824;1073;23949.3721653767;3963.27443307534;1430;3980.61652744915;Le Cannet
6031;1317;0;296.9466019417476;39.1893203883495;0;39.2431724653947;Cantaron
6032;4602;1072;8573.0;1423.0;1204;1273.46057667772;Cap-d'Ail
6033;12625;295;2056.133287545375;251.826657509075;274;210.04521003255;Carros
6034;1650;186;450.0;40.0;188;54.2225237449118;Castagniers
6035;1125;0;525.5607613469986;89.9121522693997;0;100.93997590711;Castellar
6036;388;0;302.4799183117765;48.0959836623553;14;47.0;Castillon
6037;297;0;744.9656357388351;146.993127147767;0;160.392781316348;Caussols
6038;3705;76;3328.0;426.0;82;377.449157466589;Châteauneuf-Grasse
6039;940;0;275.967032967033;45.5934065934066;0;44.2632575757575;Châteauneuf-Villevieille
6040;63;0;231.0;45.0;0;37.8461538461538;Châteauneuf-d'Entraunes
6041;404;0;583.378345227475;104.875669045495;0;88.0;Cipières
6042;674;0;1056.0;207.0;0;280.607679465776;Clans
6043;829;0;666.0;109.0;0;152.169981916817;Coaraze
6044;8042;2238;7443.503725782415;774.500745156483;2425;577.805793991417;La Colle-sur-Loup
6045;77;0;213.0;42.0;0;39.8769883351007;Collongues
6046;3494;46;876.6346552576699;125.726931051534;44;70.0534351145038;Colomars
6047;96;0;280.0;56.0;0;65.015873015873;Conségudes
6048;7509;166;1041.0;129.0;151;175.703293321021;Contes
6049;117;10;175.5410972469795;26.5082194493959;10;25.5050505050505;Courmes
6050;541;0;644.0;112.0;0;123.952;Coursegoules
6051;99;0;347.0;65.0;0;71.6538461538461;La Croix-sur-Roudoule
6052;178;0;245.0;46.0;0;49.7353345428556;Cuébris
6053;145;0;273.1923558897245;54.6384711779449;0;53.0;Daluis
6054;4697;0;272.2135815991235;35.0427163198247;0;30.4002831571027;Drap
6055;148;0;94.240379810095;18.848075962019;0;21.2282608695652;Duranus
6056;143;63;857.0370370370349;153.407407407407;73;142.525183670378;Entraunes
6057;2555;146;716.511380068885;102.102276013777;146;99.2926829268293;L'Escarène
6058;625;0;277.408642604277;48.6817285208554;0;45.0;Escragnolles
6059;2284;440;6592.60749255;1037.52149851;588;990.067149363965;Èze
6060;2028;0;499.1766029246345;45.4353205849269;0;44.092268475098;Falicon
6061;104;0;221.316384180791;43.4632768361582;0;43.0;Les Ferres
6062;330;129;1323.77449903207;233.954899806414;138;254.680505415163;Fontan
6063;72;0;384.0;76.0;0;69.0;Gars
6064;4189;0;991.0539699014;131.61079398028;0;130.101538099517;Gattières
6065;6918;140;1786.210522346195;141.042104469239;138;188.0;La Gaude
6066;1605;330;1001.6782511210748;121.135650224215;336;131.801542588867;Gilette
6067;1560;0;961.08225616921;174.016451233842;0;169.03267376966;Gorbio
6068;384;0;419.0;59.0;0;60.1475519785379;Gourdon
6069;49804;2534;19104.53118771685;2543.50623754337;2481;1899.06341176324;Grasse
6070;592;0;2703.0;499.0;16;510.467256705873;Gréolières
6071;623;448;5278.480331262945;929.296066252589;458;807.0;Guillaumes
6072;179;0;295.417020416414;58.2834040832828;0;35.0;Ilonse
6073;679;2663;19704.96048774315;3025.19209754863;3484;2988.46649968691;Isola
6074;1287;136;2023.9160408328448;368.183208166569;136;369.0;Lantosque
6075;4772;52;1498.9811912225698;259.796238244514;84;241.539889812194;Levens
6076;49;0;113.0;22.0;0;20.8484848484848;Lieuche
6077;1300;26;2284.0;435.0;36;433.153091195644;Lucéram
6078;323;0;317.3684210526315;63.4736842105263;0;55.0;Malaussène
6079;22121;6469;57660.97590904725;9321.79518180945;7955;8339.21568066909;Mandelieu-la-Napoule
6080;109;0;229.562091503268;43.7124183006536;0;30.0;Marie
6081;139;0;481.27807606264;91.655615212528;0;100.0;Le Mas
6082;103;0;239.0;47.0;0;52.3891425672248;Massoins
6083;30717;3680;72173.34557580901;12510.4691151618;3817;12532.3899166465;Menton
6084;10207;530;4363.889539953854;535.377907990771;668;449.137326887419;Mouans-Sartoux
6085;19915;1697;15432.76391245515;2062.75278249103;1489;1829.43091524288;Mougins
6086;264;0;1389.263565891475;274.852713178295;0;256.366995073892;Moulinet
6087;48;0;42.0;8.0;0;9.0;Les Mujouls
6088;343889;23197;229303.5032018795;31942.7006403759;22868;30084.2017376642;Nice
6089;2328;1326;3643.6455453149;212.32910906298;1331;215.481182795699;Opio
6090;8080;542;1814.747967479675;167.349593495935;514;132.681379490643;Pégomas
6091;2391;0;2812.26477541371;531.252955082742;0;527.974675345704;Peille
6092;1475;118;562.5539845758354;79.7107969151671;130;75.843976093111;Peillon
6093;215;0;547.28971962617;105.457943925234;0;99.5606060606061;La Penne
6094;789;795;11931.5068243858;2068.50136487716;1079;2033.662419416;Péone
6095;8359;274;3059.48941066479;301.497882132958;32;402.0;Peymeinade
6096;105;0;203.1176470588235;35.8235294117647;0;35.98944354983;Pierlas
6097;332;0;394.0;71.0;0;93.5395348837209;Pierrefeu
6098;128;16;178.0;30.0;16;41.3980582524272;Puget-Rostang
6099;1932;515;1306.652481768025;140.130496353605;422;143.371378402107;Puget-Théniers
6100;233;0;174.912138415788;34.9824276831576;0;33.0;Revest-les-Roches
6101;199;0;499.4229102807845;95.8845820561569;0;98.0;Rigaud
6102;96;18;363.0;65.0;18;56.4840809683653;Rimplas
6103;1885;360;2095.385057471265;332.477011494253;369;327.597887676122;Roquebillière
6104;13038;1222;37207.7058938759;6632.94117877518;2234;6648.47581068713;Roquebrune-Cap-Martin
6105;7130;14;4502.41744642318;581.883489284636;46;623.16199604633;Roquefort-les-Pins
6106;586;90;676.67144373673;104.134288747346;96;110.79326923077;Roquestéron
6107;74;0;324.32113821138205;35.2642276422764;0;46.0;La Roque-en-Provence
6108;5480;813;2246.0;154.0;813;115.451127819549;La Roquette-sur-Siagne
6109;949;159;418.0;35.0;159;34.9781755630812;La Roquette-sur-Var
6110;123;0;1747.9841827672249;321.396836553445;0;326.0;Roubion
6111;150;0;546.19934210526;105.639868421052;14;91.455;Roure
6112;4080;22;2039.321243523315;251.064248704663;22;246.479777929409;Le Rouret
6113;1365;30;990.657894736845;175.731578947369;52;206.235785910939;Sainte-Agnès
6114;5605;0;353.99420646230953;26.3988412924619;0;47.0864606328182;Saint-André-de-la-Roche
6115;90;0;182.987951807229;33.3975903614458;0;32.9791139240506;Saint-Antonin
6116;219;120;1197.0;213.0;120;201.652597402597;Saint-Auban
6117;1138;0;255.129068141368;30.2258136282736;0;29.0;Saint-Blaise
6118;4005;0;2620.49424579285;374.09884915857;75;357.09662027833;Saint-Cézaire-sur-Siagne
6119;115;0;694.548192771085;110.509638554217;0;103.620481927711;Saint-Dalmas-le-Selvage
6120;1673;1646;19608.2929061785;3461.2585812357;1924;3414.98717233773;Saint-Étienne-de-Tinée
6121;1541;916;7693.831765656;1262.9663531312;918;1233.72417355372;Saint-Jean-Cap-Ferrat
6122;4267;385;2323.0;230.0;376;244.151945320715;Saint-Jeannet
6123;28690;1399;14373.396981185351;2249.27939623707;1608;2002.56193519664;Saint-Laurent-du-Var
6124;50;0;205.0;41.0;0;33.1489361702128;Saint-Léger
6125;159;268;827.0;128.0;268;191.909523809524;Saint-Martin-d'Entraunes
6126;3078;0;262.0;32.0;0;45.7608346709471;Saint-Martin-du-Var
6127;1439;547;8027.9611385568;1400.99222771136;422;1314.01656695812;Saint-Martin-Vésubie
6128;3396;746;4610.022588667565;540.004517733513;744;516.0;Saint-Paul-de-Vence
6129;389;76;692.0;129.0;76;124.658897006444;Saint-Sauveur-sur-Tinée
6130;3699;546;2630.507548152005;369.101509630401;546;376.310690258143;Saint-Vallier-de-Thiey
6131;51;0;246.0;49.2;0;51.0188679245283;Sallagriffon
6132;469;0;1859.630792227205;352.526158445441;0;356.431751187855;Saorge
6133;71;0;341.0;67.0;0;61.4931506849315;Sauze
6134;553;26;1278.0;236.0;26;249.467455621302;Séranon
6135;199;0;711.945454545455;137.989090909091;0;127.496811830145;Sigale
6136;3903;600;3123.75164089198;456.950328178396;611;586.0;Sospel
6137;1238;18;1559.0966244962851;197.219324899257;18;162.831835686778;Spéracèdes
6138;1364;847;16122.0;2573.0;723;2553.34423076923;Théoule-sur-Mer
6139;111;0;208.2161716171615;41.6432343234323;0;44.0;Thiéry
6140;3116;0;1495.0;202.0;0;159.959919839679;Le Tignet
6141;346;0;770.0;145.0;0;132.001851310533;Toudon
6142;292;0;154.811320754717;27.9622641509434;0;38.0;Touët-de-l'Escarène
6143;678;90;514.7466666666664;89.9493333333333;90;85.2807999353706;Touët-sur-Var
6144;565;10;544.0;102.0;0;124.28125;La Tour
6145;133;0;304.61538461538447;60.9230769230769;0;59.4074074074074;Tourette-du-Château
6146;162;0;127.5098039215685;23.9019607843137;0;33.0;Tournefort
6147;5005;0;564.9575070821529;70.9915014164306;12;69.5440437973706;Tourrette-Levens
6148;4119;550;5891.091754283925;765.618350856785;550;710.0;Tourrettes-sur-Loup
6149;10049;12;652.68226043373;101.536452086746;16;123.587357384147;La Trinité
6150;3077;60;3923.886406638025;665.377281327605;60;590.802357207615;La Turbie
6151;872;0;1293.6699875467;250.93399750934;0;259.167300478022;Utelle
6152;13789;982;6916.66455137019;819.132910274038;1020;562.564639924289;Valbonne
